Rank,Team,GM,W-L,PTS,PPG,OPP PTS,OPP PPG,SCR MAR
341,Western Caro. (Southern),32,9-23,1965,61.4,2345,73.3,-11.9
342,Coppin St. (Mid-Eastern),33,8-25,2192,66.4,2600,78.8,-12.4
343,Longwood (Big South),30,6-24,2018,67.3,2408,80.3,-13
344,Chicago St. (Western Athletic),31,6-25,2036,65.7,2444,78.8,-13.2
345,Mississippi Val. (Southwestern),32,7-25,2233,69.8,2665,83.3,-13.5
346,Presbyterian (Big South),30,5-25,1836,61.2,2245,74.8,-13.6
347,Alabama A&M (Southwestern),29,2-27,1790,61.7,2255,77.8,-16
Reclassifying,,,,,,,,
-,Grand Canyon (Western Athletic),31,22-9,"2,282",73.6,"2,103",67.8,5.8
-,Abilene Christian (Southland),29,13-16,"2,009",69.3,"2,073",71.5,-2.2
-,UMass Lowell (America East),31,11-20,"2,429",78.4,"2,517",81.2,-2.8
-,Incarnate Word (Southland),29,12-17,"2,212",76.3,"2,320",80.0,-3.7
